date;jour;b1;b2;b3;b4;b5;chance
2011-05-23;LUNDI;15;19;29;33;38;3
2011-05-25;MERCREDI;14;27;34;38;45;3
2011-05-28;SAMEDI;1;2;3;5;43;9
2011-05-30;LUNDI;14;20;21;22;47;9
2011-06-01;MERCREDI;25;26;30;32;45;5
2011-06-04;SAMEDI;3;4;15;27;35;2
2011-06-06;LUNDI;10;13;22;30;45;1
2011-06-08;MERCREDI;11;16;20;24;40;5
2011-06-11;SAMEDI;5;32;37;39;44;5
2011-06-13;LUNDI;3;17;18;22;28;6
2011-06-15;MERCREDI;9;36;37;41;47;8
2011-06-18;SAMEDI;9;12;33;43;46;10
2011-06-20;LUNDI;2;8;23;27;36;9
2011-06-22;MERCREDI;21;22;26;28;33;5
2011-06-25;SAMEDI;6;10;17;39;43;3
2011-06-27;LUNDI;5;12;14;20;43;3
2011-06-29;MERCREDI;1;11;18;37;38;4
2011-07-02;SAMEDI;1;7;11;26;49;5
2011-07-04;LUNDI;14;25;31;37;46;4
2011-07-06;MERCREDI;3;9;10;24;33;6
2011-07-09;SAMEDI;4;15;31;44;45;6
2011-07-11;LUNDI;7;23;43;47;48;9
2011-07-13;MERCREDI;4;12;16;41;46;6
2011-07-16;SAMEDI;18;27;35;37;42;3
2011-07-18;LUNDI;5;19;26;38;47;7
2011-07-20;MERCREDI;6;18;23;26;45;6
2011-07-23;SAMEDI;13;18;32;43;46;5
2011-07-25;LUNDI;3;11;22;38;41;7
2011-07-27;MERCREDI;4;5;6;7;11;10
2011-07-30;SAMEDI;8;12;20;41;46;1
2011-08-01;LUNDI;10;25;32;37;43;3
2011-08-03;MERCREDI;4;5;17;19;20;10
2011-08-06;SAMEDI;4;13;15;17;39;4
2011-08-08;LUNDI;1;12;18;26;30;9
2011-08-10;MERCREDI;4;27;28;29;38;2
2011-08-13;SAMEDI;3;4;5;13;41;9
2011-08-15;LUNDI;1;3;4;8;23;8
2011-08-17;MERCREDI;3;8;29;45;49;9
2011-08-20;SAMEDI;21;22;31;40;49;4
2011-08-22;LUNDI;17;36;38;40;44;1
2011-08-24;MERCREDI;3;4;17;36;47;4
2011-08-27;SAMEDI;13;19;21;27;45;2
2011-08-29;LUNDI;3;10;12;30;46;2
2011-08-31;MERCREDI;5;7;9;39;42;3
2011-09-03;SAMEDI;7;13;41;42;47;5
2011-09-05;LUNDI;7;10;17;22;23;5
2011-09-07;MERCREDI;3;12;13;40;41;7
2011-09-10;SAMEDI;1;10;15;24;28;5
2011-09-12;LUNDI;13;18;30;32;45;2
2011-09-14;MERCREDI;5;11;14;16;42;3
2011-09-17;SAMEDI;1;2;15;23;40;4
2011-09-19;LUNDI;1;13;27;35;48;7
